,vender,url,product,description,image,price,in_stock,kit,quantity
0,Dangkeebs,https://dangkeebs.com/collections/switches/products/kailh-deep-sea,Kailh Deep Sea,Kailh Deep Sea's are inspired by the calm waters of the deep ocean. The sophisticated internal silencing mechanisms of this switch allow for operation with &lt;35dB. Switches are sold in packs of 10. Quantity 1 = 10 switches.  Specifications: Silent Linear 3.6mm travel Stem: Polyoxymethylene (POM) Top Housing: Nylon Bo,http://cdn.shopify.com/s/files/1/0064/2560/8282/products/IMG_1952_1200x1200.jpg?v=1654821982,$7.00,Sold out,Default Title  - Sold out," Kailh Deep Sea's are inspired by the calm waters of the deep ocean. The sophisticated internal silencing mechanisms of this switch allow for operation with <35dB. Switches are sold in packs of 10.  Quantity 1 = 10 switches.  Specifications:  Silent Linear
3.6mm travel
Stem: Polyoxymethylene (POM)
Top Housing: Nylon
Bottom Housing: Nylon

Spring: 45g actuation
Plate mount (3 pin)
Manufactured by Kailh       "
1,Dangkeebs,https://dangkeebs.com/collections/switches/products/durock-medium-tactile-65g,Durock Medium Tactile - 65g,Switches are sold in packs of 10. Quantity 1 = 10 switches.  Specifications: Tactile 4.0mm travel Stem: POM  Top Housing: Polycarbonate Bottom Housing: Nylon Spring: Gold plated 65g (bottom out) PCB mount (5 pin) Lightly pre-lubed,http://cdn.shopify.com/s/files/1/0064/2560/8282/products/IMG_0387_1200x1200.jpg?v=1615000862,$5.50,Add to cart,Default Title," Switches are sold in packs of 10.  Quantity 1 = 10 switches.  Specifications:  Tactile
4.0mm travel
Stem: POM 

Top Housing: Polycarbonate

Bottom Housing: Nylon

Spring: Gold plated 65g (bottom out)

PCB mount (5 pin)

Lightly pre-lubed     "
2,Dangkeebs,https://dangkeebs.com/collections/switches/products/gateron-ks-9-pro-2-0-black,Gateron KS-9 Pro 2.0 - Black,Gateron KS-9 Pro 2.0 - Black are the most recent update to Gateron's popular black switches. They feature improved molds with better tolerances and smoothness. The top housing is now clear with a light guide dome to assist with RGB diffusion. The switches are lightly pre-lubed from factory for a solid experience withou,http://cdn.shopify.com/s/files/1/0064/2560/8282/products/IMG_2994-2_1200x1200.jpg?v=1672611816,$2.30,Add to cart,Default Title," Gateron KS-9 Pro 2.0 - Black are the most recent update to Gateron's popular black switches. They feature improved molds with better tolerances and smoothness. The top housing is now clear with a light guide dome to assist with RGB diffusion. The switches are lightly pre-lubed from factory for a solid experience without modifications.    Switches are sold in packs of 10.  Quantity 1 = 10 switches.  Specifications:  Linear 
Spring: 70g bottom-out / 60g actuation, 15.4mm spring 

4.0mm travel / 2.0mm actuation
PCB mount (5-pin)


Lightly pre-lubed from factory
Manufactured by Gateron "
3,Dangkeebs,https://dangkeebs.com/collections/switches/products/gateron-yellow,Gateron Yellow,"Gateron Yellows are extremely popular within the community for a reason. They're excellent linear switches, and extremely affordable. A little lube, and some films will make these perfect for any build.  Switches are sold in packs of 10. Quantity 1 = 10 switches.  Specifications: Linear 4.0mm travel 50g actuation Black",http://cdn.shopify.com/s/files/1/0064/2560/8282/products/IMG_8232_1200x1200.jpg?v=1602995949,$2.40,Add to cart,Default Title," Gateron Yellows are extremely popular within the community for a reason. They're excellent linear switches, and extremely affordable. A little lube, and some films will make these perfect for any build.  Switches are sold in packs of 10.  Quantity 1 = 10 switches.  Specifications:  Linear
4.0mm travel
50g actuation
Black bottom / Milky top 
5 pin 

UNLUBED from factory "
4,Dangkeebs,https://dangkeebs.com/collections/switches/products/ktt-monochrome-marble,KTT Monochrome - Marble,"Coming soon! Estimated to arrive Q2 2023   KTT Monochrome is a DK exclusive collection in collaboration with KTT in celebration of our long-standing partnership. The goal of this collection is to highlight underrated gems within KTT’s arsenal of switches. This collection utilizes a variety of uncommon molds, and custom",http://cdn.shopify.com/s/files/1/0064/2560/8282/products/IMG_1247-2_1200x1200.jpg?v=1642455001,$4.60,Sold out,Default Title  - Sold out," Coming soon! Estimated to arrive Q2 2023    KTT Monochrome is a DK exclusive collection in collaboration with KTT in celebration of our long-standing partnership. The goal of this collection is to highlight underrated gems within KTT’s arsenal of switches. This collection utilizes a variety of uncommon molds, and custom molds to provide you with an unmatched typing experience.  Marbles are a new moderate tactile with a well-rounded bump. They feature gold plated springs, polycarbonate housings, and MX style latches. They're a great middle ground for those who enjoy tactiles, and a great introductory switch for those switching over from linears.  Additional switches in this collection:KTT Monochrome - ChalkKTT Monochrome - Onyx  Switches are sold in packs of 10.Quantity 1 = 10 switches. Specifications:  Tactile 
Top Housing: Polycarbonate
Bottom Housing: Polycarbonate
Stem: POM
38g actuation / 63.5g bottom-out
4.0mm travel
5 Pin
Manufactured by KTT exclusively for Dangkeebs
Collectible sticker included with all orders while supplies last
Collectible packaging available for orders with 70+ switches    International Vendors:  TBA     "
5,Dangkeebs,https://dangkeebs.com/collections/switches/products/cherry-hyperglide-black,Cherry Hyperglide - Black,"Hyperglide Cherry Blacks were announced during CES 2020. These switches feature Cherry's new 'Hyperglide' tooling. The result of this new tooling is increased smoothness, tighter tolerances, and an increased service life of &gt;100million actuations.   Switches are sold in packs of 10. Quantity 1 = 10 switches.  Specif",http://cdn.shopify.com/s/files/1/0064/2560/8282/products/IMG_0514-3_1200x1200.jpg?v=1619243629,$4.50,Add to cart,Default Title," Hyperglide Cherry Blacks were announced during CES 2020. These switches feature Cherry's new 'Hyperglide' tooling. The result of this new tooling is increased smoothness, tighter tolerances, and an increased service life of >100million actuations.    Switches are sold in packs of 10.  Quantity 1 = 10 switches.  Specifications:  Linear
4.0mm travel
60g actuation
PCB mount (5-pin)
Hyperglide tooling

UNLUBED from factory    Sound Test:       "
6,Dangkeebs,https://dangkeebs.com/collections/switches/products/cherry-red,Cherry - Red,Switches are sold in packs of 10. Quantity 1 = 10 switches.  Specifications: Linear 4.0mm travel 45g actuation PCB mount (5-pin) UNLUBED  ,http://cdn.shopify.com/s/files/1/0064/2560/8282/products/IMG_0874_1200x1200.jpg?v=1619243290,$4.00,Sold out,Default Title  - Sold out," Switches are sold in packs of 10.  Quantity 1 = 10 switches.  Specifications:  Linear

4.0mm travel
45g actuation
PCB mount (5-pin)
UNLUBED       "
7,Dangkeebs,https://dangkeebs.com/collections/switches/products/tecsee-ruby-v2,Tecsee Ruby V2,"Tecsee Ruby V2's feature the same one-of-a-kind sparkling housing, smooth travel, and long pole stem as the V1's, but with an updated UHMWPE stem. They offer the same snappy response as their ancestors but this time with a softened bottom, and top out sound. Switches are sold in packs of 10. Quantity 1 = 10 switches.  ",http://cdn.shopify.com/s/files/1/0064/2560/8282/products/IMG_9916_1200x1200.jpg?v=1629248191,$5.50,Sold out,Default Title  - Sold out," Tecsee Ruby V2's feature the same one-of-a-kind sparkling housing, smooth travel, and long pole stem as the V1's, but with an updated UHMWPE stem. They offer the same snappy response as their ancestors but this time with a softened bottom, and top out sound. Switches are sold in packs of 10.  Quantity 1 = 10 switches.  Specifications:  Linear
Top Housing: Polycarbonate mix 
Bottom Housing: Polycarbonate mix
Stem: UHMWPE
63.5g (Bottom out)
Gold plated progressive spring
5 pin (PCB Mount) 
Lightly pre-lubed    Sound Test:   "
8,Dangkeebs,https://dangkeebs.com/collections/switches/products/quartz-v2,Quartz V2,"Quartz V2's are here! The biggest change QwertyQop has made this round is to opt for custom springs: 63.5g Turbo. These springs are made of Korean KOS steel &amp; have different diameters on both the top and bottom. When the smaller diameter is inserted into the switch first, it will act as a complex spring. Alternativ",http://cdn.shopify.com/s/files/1/0064/2560/8282/products/IMG_1484-2_1200x1200.jpg?v=1646589367,$6.80,Sold out,Default Title  - Sold out," Quartz V2's are here! The biggest change QwertyQop has made this round is to opt for custom springs: 63.5g Turbo. These springs are made of Korean KOS steel & have different diameters on both the top and bottom. When the smaller diameter is inserted into the switch first, it will act as a complex spring. Alternatively, when the larger diameter is inserted into the switch, it will act as a slow spring. The default orientation is for a slow spring.  Switches are sold in packs of 10.  Quantity 1 = 10 switches.  Specifications:  Linear
3.5mm travel / 2.0mm actuation
Stem: P3 stem - a longer than the average JWK stem (P3 is the new official name given by JWK for this special blend of UHMWPE)
Top Housing: Polycarbonate / Nylon Blend

Bottom Housing: Special Polyamide Blend
Spring: 63.5g Korean KOS Steel Turbo Spring (bottom out) 
PCB mount (5 pin)

UNLUBED from factory
Manufactured by JWK

Designed by Qwertyqop
Quartz V2's feature a matte top housing, which is mainly used to differentiate them from V1**  Sound Test:  International Vendors:  Canada: ShockPort


SEA: qwertyqop       "
9,Dangkeebs,https://dangkeebs.com/collections/switches/products/gateron-milky-red,Gateron Milky Red,"Gateron Milky Reds are excellent linear switches. They feature all of the community acclaimed properties of Gateron Milky Yellows with a slightly lighter spring weight. A little lube, and some films will make these perfect for any build.  Switches are sold in packs of 10. Quantity 1 = 10 switches.  Specifications: Line",http://cdn.shopify.com/s/files/1/0064/2560/8282/products/IMG_8112_1200x1200.jpg?v=1602991682,$2.40,Sold out,Default Title  - Sold out," Gateron Milky Reds are excellent linear switches. They feature all of the community acclaimed properties of Gateron Milky Yellows with a slightly lighter spring weight. A little lube, and some films will make these perfect for any build.  Switches are sold in packs of 10.  Quantity 1 = 10 switches.  Specifications:  Linear
Top Housing: Polycarbonate / Nylon Blend
Bottom Housing: Nylon Blend
Stem: POM
4.0mm travel
45g actuation
5 pin 

UNLUBED from factory "
10,Dangkeebs,https://dangkeebs.com/collections/switches/products/cox-gn08-silent-yellow,COX GN08 Silent Yellow,"COX GN08 Silent Yellows are the Gateron Yellows you love, but silent! A little lube, and some films will make these perfect for any build.    Switches are sold in packs of 10. Quantity 1 = 10 switches.  Specifications: Silent Linear 4.0mm travel 50g actuation 3 pin ",http://cdn.shopify.com/s/files/1/0064/2560/8282/products/IMG_9584_1200x1200.jpg?v=1623624778,$4.00,Sold out,Default Title  - Sold out," COX GN08 Silent Yellows are the Gateron Yellows you love, but silent! A little lube, and some films will make these perfect for any build.    Switches are sold in packs of 10.  Quantity 1 = 10 switches.  Specifications:  Silent Linear
4.0mm travel
50g actuation
3 pin "
11,Dangkeebs,https://dangkeebs.com/collections/switches/products/gateron-blue,Gateron Blue,"Gateron Blues incorporate a click jacket for an audible click when you actuate the switch. They also feature all of the community acclaimed properties of Gateron's milky top, black bottom housings.  Switches are sold in packs of 10. Quantity 1 = 10 switches.  Specifications: Clicky 4.0mm travel 60g actuation Black bott",http://cdn.shopify.com/s/files/1/0064/2560/8282/products/IMG_8159-2_1200x1200.jpg?v=1602993268,$2.40,Add to cart,Default Title," Gateron Blues incorporate a click jacket for an audible click when you actuate the switch. They also feature all of the community acclaimed properties of Gateron's milky top, black bottom housings.  Switches are sold in packs of 10.  Quantity 1 = 10 switches.  Specifications:  Clicky

4.0mm travel
60g actuation
Black bottom / Milky top 
5 pin

UNLUBED from factory "
12,Dangkeebs,https://dangkeebs.com/collections/switches/products/durock-t1,Durock T1,Switches are sold in packs of 10. Quantity 1 = 10 switches.  Specifications: Tactile 4.0mm travel Stem: POM  Top Housing: Polycarbonate Bottom Housing: Nylon Spring: Gold plated 67g (bottom out) PCB mount (5 pin) Lightly pre-lubed,http://cdn.shopify.com/s/files/1/0064/2560/8282/products/IMG_0376_1200x1200.jpg?v=1614999771,$5.50,Add to cart,Default Title," Switches are sold in packs of 10.  Quantity 1 = 10 switches.  Specifications:  Tactile
4.0mm travel
Stem: POM 

Top Housing: Polycarbonate

Bottom Housing: Nylon

Spring: Gold plated 67g (bottom out)

PCB mount (5 pin)

Lightly pre-lubed     "
13,Dangkeebs,https://dangkeebs.com/collections/switches/products/ttc-golden-brown,TTC Golden Brown,TTC Golden Brown's are a light tactile with slightly more tactility than a traditional brown switch.  Switches are sold in packs of 10. Quantity 1 = 10 switches.  Specifications: Tactile 4mm travel 55g actuation / 63g bottom out Lightly lubed 3 Pin,http://cdn.shopify.com/s/files/1/0064/2560/8282/products/IMG_9885-3_1200x1200.jpg?v=1627438539,$5.00,Add to cart,Default Title," TTC Golden Brown's are a light tactile with slightly more tactility than a traditional brown switch.  Switches are sold in packs of 10.  Quantity 1 = 10 switches.  Specifications:  Tactile

4mm travel

55g actuation / 63g bottom out
Lightly lubed
3 Pin       "
14,Dangkeebs,https://dangkeebs.com/collections/switches/products/novelkeys-x-kailh-box-cream,Novelkeys x Kailh Box Cream,"Novelkeys x Kailh Box Creams are a new linear switch created in the likeness of cream switches, but features the unique BOX housing.Switches are sold in packs of 10. Quantity 1 = 10 switches.  Specifications: Linear 2mm actuation / 4.0mm travel 45g actuation / 55g bottom out Cream housing 5 pin ",http://cdn.shopify.com/s/files/1/0064/2560/8282/products/IMG_0895-2_1200x1200.jpg?v=1619243986,$7.00,Add to cart,Default Title," Novelkeys x Kailh Box Creams are a new linear switch created in the likeness of cream switches, but features the unique BOX housing.Switches are sold in packs of 10.  Quantity 1 = 10 switches.  Specifications:  Linear
2mm actuation / 4.0mm travel
45g actuation / 55g bottom out
Cream housing
5 pin "
15,Dangkeebs,https://dangkeebs.com/collections/switches/products/gateron-milky-green,Gateron Milky Green,Gateron Milky Greens incorporate a click jacket for an audible click when you actuate the switch. They also feature all of the community acclaimed properties of Gateron's milky housing. Switches are sold in packs of 10. Quantity 1 = 10 switches.  Specifications: Clicky Top Housing: Polycarbonate / Nylon Blend Bottom Ho,http://cdn.shopify.com/s/files/1/0064/2560/8282/products/IMG_9966_1200x1200.jpg?v=1630215422,$2.40,Sold out,Default Title  - Sold out," Gateron Milky Greens incorporate a click jacket for an audible click when you actuate the switch. They also feature all of the community acclaimed properties of Gateron's milky housing.  Switches are sold in packs of 10.  Quantity 1 = 10 switches.  Specifications:  Clicky

Top Housing: Polycarbonate / Nylon Blend
Bottom Housing: Nylon Blend
Stem: POM
4.0mm travel
70g bottom out 
5 pin "
16,Dangkeebs,https://dangkeebs.com/collections/switches/products/strawberry-milk-ice-tactile,Strawberry Milk Ice - Tactile,"Strawberry Milk Ice are the sequel to our beloved Strawberry Milk Switches. Inspired by the countless iced drinks we've had this summer - these switches feature a fully transperant housing composed of a new formula developed in collaboration with Tecsee called Ultra Clear (UC) Nylon, and a matching collectible milk bot",http://cdn.shopify.com/s/files/1/0064/2560/8282/products/IMG_2448-3_1200x1200.jpg?v=1662709597,$7.00,Add to cart,Default Title," Strawberry Milk Ice are the sequel to our beloved Strawberry Milk Switches. Inspired by the countless iced drinks we've had this summer - these switches feature a fully transperant housing composed of a new formula developed in collaboration with Tecsee called Ultra Clear (UC) Nylon, and a matching collectible milk bottle!  What Are the Advantages of UC Nylon?  Maximum Light Transmittance  UC Nylon was developed with RGB fans in mind and aims to offer maximum light diffusion through fully transperant housings. Additionally, new molds were developed for the material with polished cavities to minimize visible abberrations.    Improved Smoothness  UC Nylon is a curated blend designed to reduce the course nature of pure nylon without impacting other favorable properties of nylon such as sound. Coupled with new polished molds, these switches aim to be a step above full nylon compositions.    Enhanced AcousticsUC Nylon utilizes a special blend to provide a deeper, fuller sound as you bottom and top-out your switches. As the bottle suggests, these switches contain 100% thock.      Switches are sold in packs of 10.  Quantity 1 = 10 switches.Specifications:  Tactile
Top Housing: UC Nylon
Bottom Housing: UC Nylon
Stem: POM
Gold plated dual-stage spring
3.0mm travel
55g actuation / 67g bottom out
5 pin (PCB Mount)

UNLUBED from factory
Manufactured by Tecsee exclusively for Dangkeebs
Collectible sticker included with all orders while supplies last
Collectible milk bottle packaging available for orders with 70+ switches    Sound Tests:  View this post on Instagram























A post shared by Dangkeebs (@dangkeebs)    View this post on Instagram























A post shared by Patricia (@xinxinwong)            International Vendors:  AUS: Keebz n Cables


Asia: Mecha.Store     "
17,Dangkeebs,https://dangkeebs.com/collections/switches/products/queen,Queen,"Moyu.studio’s newest switch, the Queen switch, features an innovative three-stage spring, creating a unique feel. A new take on the community-favorite JWK linear and inspired by the queen found in playing cards, this switch is sure to be the star of your next build.Switches are sold in packs of 10. Quantity 1 = 10 swit",http://cdn.shopify.com/s/files/1/0064/2560/8282/products/IMG_0551-2_1200x1200.jpg?v=1620852317,$6.50,Sold out,Default Title  - Sold out," Moyu.studio’s newest switch, the Queen switch, features an innovative three-stage spring, creating a unique feel. A new take on the community-favorite JWK linear and inspired by the queen found in playing cards, this switch is sure to be the star of your next build.Switches are sold in packs of 10.  Quantity 1 = 10 switches.  Specifications:  Linear
4.0mm travel
Stem: Polyoxymethylene (POM)
Top Housing: Polycarbonate
Bottom Housing: Nylon
Spring: 60g (bottom out) gold plated three-stage spring 
PCB mount (5 pin)

UNLUBED from factory
Manufactured by JWK   "
18,Dangkeebs,https://dangkeebs.com/collections/switches/products/purple-panda,Purple Panda,Purple Pandas are a strong tactile from Tecsee featuring a proprietary material in the housing known as PME. This material is used for both the top and bottom housing and provides for a slightly deeper sound signature than other traditional plastic blends. The switches also utilize a long pole stem for a more solid bot,http://cdn.shopify.com/s/files/1/0064/2560/8282/products/IMG_1955-2_1200x1200.jpg?v=1655070566,$5.00,Sold out,Default Title  - Sold out," Purple Pandas are a strong tactile from Tecsee featuring a proprietary material in the housing known as PME. This material is used for both the top and bottom housing and provides for a slightly deeper sound signature than other traditional plastic blends. The switches also utilize a long pole stem for a more solid bottom out sound. Switches are sold in packs of 10.  Quantity 1 = 10 switches.  Specifications:  Tactile
Top Housing: PME
Bottom Housing: PME
Stem: POM
67g Progressive spring (Bottom out)
3mm total travel
5 pin (PCB Mount)
Manufactured by Tecsee    Disclaimer:Some switches may have PME flakes present. The manufacturer has confirmed this is a property of PME and assured it should not affect the function of the switch. Additionally, if desired, the flakes should be easy to remove with a pair of tweezers.   "
19,Dangkeebs,https://dangkeebs.com/collections/switches/products/c-equalz-x-tkc-tangerine-62g,C³EQUALZ X TKC Tangerine - 62g,"C³EQUALZ X TKC Tangerines are smooth linears featuring a special housing composition. This material provides for smooth operation and unique sound. This is the 2nd iteration of the tangerine switch, featuring brand new molds.Switches are sold in packs of 25. Quantity 1 = 25 switches.  Specifications: Linear Top Housing",http://cdn.shopify.com/s/files/1/0064/2560/8282/products/IMG_0266_1200x1200.jpg?v=1634435131,$16.25,Sold out,Default Title  - Sold out," C³EQUALZ X TKC Tangerines are smooth linears featuring a special housing composition. This material provides for smooth operation and unique sound. This is the 2nd iteration of the tangerine switch, featuring brand new molds.Switches are sold in packs of 25.  Quantity 1 = 25 switches.  Specifications:  Linear
Top Housing: UHMWPE blend
Bottom Housing: UHMWPE blend
Stem: POM 
62g Gold plated spring (Bottom out)
5 pin (PCB Mount) 
Lightly pre-lubed from factory
Manufactured by JWK   "
20,Dangkeebs,https://dangkeebs.com/collections/switches/products/splash-brothers,Splash Brothers,"Splash Brothers are inspired by a dynamic duo. They feature an incredibly short actuation distance of 1.0mm, and a carefully applied thin coat of factory lube. These features allow them to be exceptionally quick, and smooth. When milliseconds count, these switches will prevail.    Switches are sold in packs of 10. Quan",http://cdn.shopify.com/s/files/1/0064/2560/8282/products/IMG_2381_1200x1200.jpg?v=1662436747,$2.50,Sold out,Default Title  - Sold out," Splash Brothers are inspired by a dynamic duo. They feature an incredibly short actuation distance of 1.0mm, and a carefully applied thin coat of factory lube. These features allow them to be exceptionally quick, and smooth. When milliseconds count, these switches will prevail.    Switches are sold in packs of 10.  Quantity 1 = 10 switches.Specifications:  Linear
Top Housing: Polycarbonate
Bottom Housing: PA66
Stem: POM (13.45mm extended long pole)
Stainless steel spring 

1.0mm actuation / 3.5mm travel
48g bottom out
5 pin (PCB Mount)

Lightly pre-lubed from factory
Manufactured by JWICK/JWK "
21,Dangkeebs,https://dangkeebs.com/collections/switches/products/quartz,Quartz,"A lovely pink linear manufactured by JWK featuring an extended UHMWPE stem, nylon top housing, and polyamide blend bottom housing. Switches are sold in packs of 10. Quantity 1 = 10 switches.  Specifications: Linear 4.0mm travel / 2.0mm actuation Stem: P3 (A proprietary UHMWPE blend from JWK) Top Housing: Polycarbonate ",http://cdn.shopify.com/s/files/1/0064/2560/8282/products/IMG_0069-4_1200x1200.jpg?v=1631487844,$6.30,Sold out,Default Title  - Sold out," A lovely pink linear manufactured by JWK featuring an extended UHMWPE stem, nylon top housing, and polyamide blend bottom housing.  Switches are sold in packs of 10.  Quantity 1 = 10 switches.  Specifications:  Linear
4.0mm travel / 2.0mm actuation
Stem: P3 (A proprietary UHMWPE blend from JWK)
Top Housing: Polycarbonate / Nylon Blend

Bottom Housing: Special Polyamide Blend
Spring: 63.5g (bottom out) gold plated spring
PCB mount (5 pin)

UNLUBED from factory
Manufactured by JWK

Designed by Qwertyqop    Sound Test:    International Vendors:  Canada: ShockPort


Europe: MyKeyboard


UK: KeebCats


SEA: qwertyqop       "
22,Dangkeebs,https://dangkeebs.com/collections/switches/products/durock-linear-55g,Durock Linear - 55g,Switches are sold in packs of 10. Quantity 1 = 10 switches.  Specifications: Linear 4.0mm travel Stem: POM  Top Housing: Polycarbonate Bottom Housing: Nylon Spring: Gold plated 55g (bottom out) PCB mount (5 pin) Lightly pre-lubed,http://cdn.shopify.com/s/files/1/0064/2560/8282/products/IMG_0335_1200x1200.jpg?v=1614998192,$5.50,Add to cart,Default Title," Switches are sold in packs of 10.  Quantity 1 = 10 switches.  Specifications:  Linear
4.0mm travel
Stem: POM 

Top Housing: Polycarbonate

Bottom Housing: Nylon

Spring: Gold plated 55g (bottom out)

PCB mount (5 pin)

Lightly pre-lubed     "
23,Dangkeebs,https://dangkeebs.com/collections/switches/products/wuque-studio-aurora-clear,Wuque Studio Aurora - Clear,"Wuque Studio Aurora Switches were originally made to complement the Ikki68 Aurora R2. The Fog/Pink/Blue variants feature the classic combination of polycarbonate top housing, nylon bottom housing, and POM stem. The Clear variant features the same top housing and stem, but an UHMWPE bottom housing.    Switches are sold ",http://cdn.shopify.com/s/files/1/0064/2560/8282/products/AuroraClearSwitchCover_1200x1200.jpg?v=1666165410,$5.00,Add to cart,Default Title," Wuque Studio Aurora Switches were originally made to complement the Ikki68 Aurora R2. The Fog/Pink/Blue variants feature the classic combination of polycarbonate top housing, nylon bottom housing, and POM stem. The Clear variant features the same top housing and stem, but an UHMWPE bottom housing.    Switches are sold in packs of 10.  Quantity 1 = 10 switches.Specifications:  Linear
Top Housing: Polycarbonate
Bottom Housing: UHMWPE
Stem: POM
Actuation: 1.90 ± 0.5mm
Total Travel: 3.8mm
Actuation Force: 53 ± 5g

Bottom-out Force: 63.5g
5 pin (PCB Mount)

UNLUBED from factory "
24,Dangkeebs,https://dangkeebs.com/collections/switches/products/gateron-black-ink-v2,Gateron Black Ink V2,"Gateron Black Ink V2's are from Gateron's premium line of switches. They feature a unique housing material and coated spring.  These switches are highly regarded within the community, and arguably one of the smoothest linears.  Switches are sold in packs of 10. Quantity 1 = 10 switches.  Specifications: Linear Top Hous",http://cdn.shopify.com/s/files/1/0064/2560/8282/products/IMG_8289_1200x1200.jpg?v=1602996463,$7.50,Add to cart,Default Title," Gateron Black Ink V2's are from Gateron's premium line of switches. They feature a unique housing material and coated spring.  These switches are highly regarded within the community, and arguably one of the smoothest linears.  Switches are sold in packs of 10.  Quantity 1 = 10 switches.  Specifications:  Linear
Top Housing: INK
Bottom Housing: INK
Stem: POM
4.0mm travel
60g actuation / 70g bottom out
Transparent housing
5 pin 
﻿UNLUBED    Sound Tests:   "
25,Dangkeebs,https://dangkeebs.com/collections/switches/products/sp-star-meteor-white,SP-Star Meteor White,"SP-Star Meteor Whites are a linear from SP-Star inspired by the gray fusion crust on meteorites resulting from their high velocity decent into our atmosphere. These switches are as exciting as their inspiration. They feature a nylon housing, gold plated spring, and POM stem. They're lightly pre-lubed and ready to go as",http://cdn.shopify.com/s/files/1/0064/2560/8282/products/IMG_1463_1200x1200.jpg?v=1646588237,$5.70,Sold out,Default Title  - Sold out," SP-Star Meteor Whites are a linear from SP-Star inspired by the gray fusion crust on meteorites resulting from their high velocity decent into our atmosphere. These switches are as exciting as their inspiration. They feature a nylon housing, gold plated spring, and POM stem. They're lightly pre-lubed and ready to go as soon as they land in your hands.    Switches are sold in packs of 10.Quantity 1 = 10 switches. Specifications:  Linear
Top Housing: Nylon
Bottom Housing: Nylon
Stem: POM
57g bottom-out force 
Dual stage gold plated spring
4.0mm travel
5 Pin
Lightly pre-lubed from factory
Manufactured by SP-Star    Sound Tests:           "
26,Dangkeebs,https://dangkeebs.com/collections/switches/products/ttc-bluish-white,TTC Bluish White,"TTC Bluish Whites are a unique tactile switch featuring a double coil long spring, mute bottom, and dust proof stem. The double coil spring allows for a very satisfying, snappy typing experience. While the silicone dampener located in the stem pole cavity helps reduce the bottom-out noise. The dust proof stem assures p",http://cdn.shopify.com/s/files/1/0064/2560/8282/products/IMG_0543-2_1200x1200.jpg?v=1616638037,$5.00,Add to cart,Default Title," TTC Bluish Whites are a unique tactile switch featuring a double coil long spring, mute bottom, and dust proof stem. The double coil spring allows for a very satisfying, snappy typing experience. While the silicone dampener located in the stem pole cavity helps reduce the bottom-out noise. The dust proof stem assures performance won't be hindered with extended use and dust accumulation.    Switches are sold in packs of 10.  Quantity 1 = 10 switches.  Specifications:  Tactile

3.5mm travel

42g actuation

Double coil long spring

Clear top housing, Bluish white bottom housing
3 Pin       "
27,Dangkeebs,https://dangkeebs.com/collections/switches/products/autumn-rain,Autumn Rain,"Autumn Rain's are inspired by rain in autumn. They feature a long pole stem made of P3 - a proprietary UHMWPE blend from JWK, extended spring, and nylon housing. These features together provide a snappy typing experience with a firm bottom out characteristic of long pole switches.  Switches are sold in packs of 10. Qua",http://cdn.shopify.com/s/files/1/0064/2560/8282/products/IMG_1984_1200x1200.jpg?v=1655069320,$7.30,Sold out,Default Title  - Sold out," Autumn Rain's are inspired by rain in autumn. They feature a long pole stem made of P3 - a proprietary UHMWPE blend from JWK, extended spring, and nylon housing. These features together provide a snappy typing experience with a firm bottom out characteristic of long pole switches.  Switches are sold in packs of 10.  Quantity 1 = 10 switches.  Specifications:  Linear 
Stem: P3 (A proprietary UHMWPE blend from JWK)

Top Housing: Nylon

Bottom Housing: Nylon blend

Spring: 63.5g (bottom out) extended spring 

3.7mm travel / 2.0mm actuation
PCB mount (5-pin)


UNLUBED from factory
Designed by Aregs Keyboard and Suixin studios
Manufactured by JWK    Sound Test:      International Vendors:  US: You're here!

CA: Mech.Land


South Korea: Monstargear


India: StacksKB


Oceania: Keebz N Cables


SEA: iLumkb


Malaysia: Teddo     "
28,Dangkeebs,https://dangkeebs.com/collections/switches/products/tecsee-ice-grape,Tecsee Ice Grape,"Tecsee Ice Grapes feature the same housing as their Ice Candy switches, but with a long pole UHMWPE stem. The transparent housing offers maximum RGB diffusion, and the UHMWPE stem ensures a muted top and bottom out sound.  Switches are sold in packs of 10. Quantity 1 = 10 switches.  Specifications: Linear Top Housing: ",http://cdn.shopify.com/s/files/1/0064/2560/8282/products/IMG_0928-2_1200x1200.jpg?v=1638126445,$6.00,Add to cart,Default Title," Tecsee Ice Grapes feature the same housing as their Ice Candy switches, but with a long pole UHMWPE stem. The transparent housing offers maximum RGB diffusion, and the UHMWPE stem ensures a muted top and bottom out sound.  Switches are sold in packs of 10.  Quantity 1 = 10 switches.  Specifications:  Linear
Top Housing: Polycarbonate 
Bottom Housing: Polycarbonate
Stem: UHMWPE
Dual stage gold plated spring
3.8mm travel
55g actuation / 67g bottom out
5 pin (PCB Mount) 
Lightly pre-lubed   "
